Wall time,Step,Value
1575280812.23972,0,0.4156799912452698
1575280883.171311,1,0.6067600250244141
1575280953.456005,2,0.6923999786376953
1575281024.114174,3,0.7405999898910522
1575281095.026638,4,0.7694000005722046
1575281165.706427,5,0.7919999957084656
1575281236.194236,6,0.8041800260543823
1575281307.441339,7,0.8159599900245667
1575281378.165866,8,0.8279799818992615
1575281449.064482,9,0.8382200002670288
1575281519.417043,10,0.8446599841117859
1575281590.070944,11,0.850820004940033
1575281660.463291,12,0.8565199971199036
1575281731.566924,13,0.8633400201797485
1575281802.330005,14,0.8663399815559387
1575281872.266637,15,0.8713399767875671
1575281942.337353,16,0.8742799758911133
1575282012.61877,17,0.8805000185966492
1575282082.94633,18,0.8839600086212158
1575282153.100096,19,0.8888000249862671
1575282223.267265,20,0.8896399736404419
1575282293.454153,21,0.8922600150108337
1575282363.734266,22,0.8940399885177612
1575282433.815948,23,0.8972200155258179
1575282503.809511,24,0.900879979133606
1575282573.817887,25,0.9035199880599976
1575282643.72528,26,0.9047999978065491
1575282713.925912,27,0.9082599878311157
1575282784.018168,28,0.9098799824714661
1575282854.521221,29,0.9122599959373474
1575282924.884603,30,0.914359986782074
1575282995.041064,31,0.9139800071716309
1575283065.365117,32,0.916700005531311
1575283135.641855,33,0.9170399904251099
1575283205.693155,34,0.921019971370697
1575283275.579586,35,0.9218400120735168
1575283346.207499,36,0.9236599802970886
1575283416.087127,37,0.9238600134849548
1575283486.159619,38,0.9282199740409851
1575283555.674018,39,0.9288399815559387
1575283625.510498,40,0.9293199777603149
1575283695.407926,41,0.9296799898147583
1575283765.566414,42,0.9327600002288818
1575283835.694207,43,0.930620014667511
1575283905.493848,44,0.9340400099754333
1575283975.586459,45,0.9361000061035156
1575284045.714132,46,0.9369199872016907
1575284115.803488,47,0.9377800226211548
1575284185.521137,48,0.9371799826622009
1575284255.304909,49,0.9402599930763245
1575284325.470062,50,0.9409999847412109
1575284394.934098,51,0.9412800073623657
1575284465.063098,52,0.9415000081062317
1575284535.406302,53,0.9428200125694275
1575284605.326156,54,0.9454799890518188
1575284828.345377,55,0.944599986076355
1575284891.535311,56,0.9446200132369995
1575284954.330091,57,0.9456400275230408
1575285018.271758,58,0.9474999904632568
1575285081.49329,59,0.9495599865913391
1575285144.563388,60,0.9485999941825867
1575285207.938265,61,0.951259970664978
1575285271.456479,62,0.9516000151634216
1575285334.623152,63,0.9515799880027771
1575285397.893261,64,0.952239990234375
1575285461.016561,65,0.9530199766159058
1575285524.308106,66,0.9526200294494629
1575285587.33494,67,0.9542800188064575
1575285651.092967,68,0.9544399976730347
1575285714.04479,69,0.9548400044441223
1575285777.296605,70,0.9562399983406067
1575285840.892997,71,0.9565200209617615
1575285904.232208,72,0.9545199871063232
1575285966.958375,73,0.9569600224494934
1575286030.178487,74,0.9585400223731995
1575286093.27959,75,0.9587799906730652
1575286156.620811,76,0.9607599973678589
1575286219.881887,77,0.960640013217926
1575286283.192587,78,0.9611999988555908
1575286346.249513,79,0.9613999724388123
1575286409.739277,80,0.960860013961792
1575286473.341078,81,0.9600600004196167
1575286536.464238,82,0.9728000164031982
1575286599.755053,83,0.9805200099945068
1575286663.399114,84,0.982200026512146
1575286726.825771,85,0.9827799797058105
1575286790.131895,86,0.9843199849128723
1575286853.517562,87,0.9847400188446045
1575286916.959167,88,0.9861400127410889
1575286980.466996,89,0.9857000112533569
1575287043.564985,90,0.9874799847602844
1575287107.001223,91,0.9869400262832642
1575287170.348023,92,0.9869400262832642
1575287233.689125,93,0.9874799847602844
1575287297.068408,94,0.9877200126647949
1575287360.465352,95,0.9877200126647949
1575287423.881503,96,0.9882400035858154
1575287487.296076,97,0.989359974861145
1575287550.342552,98,0.9894000291824341
1575287613.693802,99,0.989080011844635
1575287677.16337,100,0.9891999959945679
1575287740.632201,101,0.9888399839401245
1575287803.765403,102,0.9894000291824341
1575287866.759125,103,0.9894800186157227
1575287930.123393,104,0.9898800253868103
1575287993.294374,105,0.9903200268745422
1575288056.844976,106,0.9901599884033203
1575288120.074088,107,0.9905999898910522
1575288183.361279,108,0.9899799823760986
1575288246.374517,109,0.9905999898910522
1575288309.983584,110,0.9907799959182739
1575288373.35548,111,0.9907000064849854
1575288436.605034,112,0.9898200035095215
1575288500.530405,113,0.9907600283622742
1575288563.556765,114,0.9901400208473206
1575288627.23632,115,0.9916800260543823
1575288690.666381,116,0.9899600148200989
1575288753.811779,117,0.9910399913787842
1575288816.958391,118,0.9906200170516968
1575288879.91985,119,0.9920600056648254
1575288942.916056,120,0.9914399981498718
1575289006.587418,121,0.991159975528717
1575289069.869374,122,0.9909999966621399
1575289132.931182,123,0.9919999837875366
1575289196.550381,124,0.9923999905586243
1575289259.788838,125,0.992900013923645
1575289322.869194,126,0.992680013179779
1575289386.142594,127,0.9926199913024902
1575289449.437384,128,0.9922000169754028
1575289512.675797,129,0.992680013179779
1575289575.715516,130,0.9921200275421143
1575289639.12165,131,0.9930800199508667
1575289702.301912,132,0.9927600026130676
1575289765.576434,133,0.9929800033569336
1575289829.071359,134,0.9929599761962891
1575289892.915336,135,0.9924200177192688
1575289956.1113,136,0.9928200244903564
1575290019.510178,137,0.9927200078964233
1575290082.826377,138,0.9931600093841553
1575290145.939168,139,0.9928200244903564
1575290209.524777,140,0.9933199882507324
1575290272.896529,141,0.9934599995613098
1575290336.384297,142,0.992579996585846
1575290399.352701,143,0.9932199716567993
1575290462.638317,144,0.9926999807357788
1575290526.201334,145,0.9928600192070007
1575290589.473716,146,0.9924200177192688
1575290652.621624,147,0.9930199980735779
1575290716.000535,148,0.9930999875068665
1575290779.471606,149,0.9926000237464905
1575290842.449304,150,0.9927200078964233
1575290905.718635,151,0.9929599761962891
1575290969.229244,152,0.9922599792480469
1575291032.289549,153,0.9934999942779541
1575291095.660532,154,0.9927999973297119
1575291158.952969,155,0.9934200048446655
1575291222.583787,156,0.9928200244903564
1575291286.308021,157,0.9929599761962891
1575291350.146534,158,0.9930599927902222
1575291414.057154,159,0.9932000041007996
1575291478.18511,160,0.992900013923645
1575291542.273391,161,0.9938200116157532
1575291606.276058,162,0.9937599897384644
1575291670.287204,163,0.9929599761962891
