Wall time,Step,Value
1575519209.462924,0,1.4127047061920166
1575519281.207807,1,0.9759411811828613
1575519352.826658,2,0.7959635853767395
1575519424.63225,3,0.6897637844085693
1575519496.357788,4,0.6236358880996704
1575519568.066574,5,0.5677583813667297
1575519639.770682,6,0.5227418541908264
1575519711.338719,7,0.4952816069126129
1575519783.797756,8,0.46674737334251404
1575519855.381782,9,0.4425455629825592
1575519926.868826,10,0.41961583495140076
1575519998.682375,11,0.4046875834465027
1575520070.447842,12,0.3870712220668793
1575520142.530349,13,0.36994048953056335
1575520214.323787,14,0.360273152589798
1575520286.20625,15,0.34729892015457153
1575520357.570347,16,0.33568087220191956
1575520429.586025,17,0.32357436418533325
1575520501.338011,18,0.3126196563243866
1575520573.013554,19,0.30372920632362366
1575520644.480896,20,0.2972368597984314
1575520716.246545,21,0.2876182794570923
1575520788.162752,22,0.2788344919681549
1575520859.78043,23,0.27530619502067566
1575520931.69395,24,0.26291167736053467
1575521003.384166,25,0.2583223283290863
1575521075.076884,26,0.25376299023628235
1575521146.72982,27,0.24191871285438538
1575521218.392552,28,0.24372537434101105
1575521289.877494,29,0.23644301295280457
1575521361.990131,30,0.2273314744234085
1575521433.570566,31,0.22454720735549927
1575521505.003414,32,0.22258631885051727
1575521576.632006,33,0.21170201897621155
1575521648.203128,34,0.20715245604515076
1575521719.858325,35,0.2016405612230301
1575521791.43277,36,0.19810838997364044
1575521863.376544,37,0.1948925405740738
1575521935.471674,38,0.190160870552063
1575522007.371724,39,0.19225913286209106
1575522079.520742,40,0.18453626334667206
1575522151.390434,41,0.18337087333202362
1575522223.411039,42,0.17727768421173096
1575522295.26213,43,0.17775678634643555
1575522366.663097,44,0.16478897631168365
1575522438.487135,45,0.1730126440525055
1575522509.95727,46,0.16907016932964325
1575522581.766056,47,0.1575670689344406
1575522653.464875,48,0.1592557430267334
1575522725.022851,49,0.15861527621746063
1575522796.890659,50,0.15324324369430542
1575522868.195067,51,0.15105047821998596
1575522940.013794,52,0.1492229700088501
1575523011.444774,53,0.1462131291627884
1575523083.454292,54,0.143914595246315
1575523154.950836,55,0.14002537727355957
1575523226.496534,56,0.13785235583782196
1575523298.092022,57,0.13849957287311554
1575523369.783985,58,0.13527029752731323
1575523441.188392,59,0.13477058708667755
1575523512.97711,60,0.1256040781736374
1575523584.697129,61,0.12927685678005219
1575523656.720662,62,0.12746159732341766
1575523728.509648,63,0.12614527344703674
1575523799.913636,64,0.12404264509677887
1575523871.768022,65,0.12109868228435516
1575523943.933969,66,0.11733803898096085
1575524015.748214,67,0.11855489015579224
1575524087.53736,68,0.1233682855963707
1575524159.02296,69,0.11383505165576935
1575524230.782953,70,0.11176992952823639
1575524302.623922,71,0.1121835708618164
1575524374.34012,72,0.11044380068778992
1575524446.338393,73,0.11067690700292587
1575524518.652707,74,0.11278709769248962
1575524590.799492,75,0.10621125251054764
1575524662.525701,76,0.09855967015028
1575524734.801356,77,0.10730042308568954
1575524806.506917,78,0.10370172560214996
1575524877.960413,79,0.1039087176322937
1575524949.862715,80,0.09974336624145508
1575525021.681848,81,0.09755859524011612
1575525093.749187,82,0.06911806017160416
1575525165.714952,83,0.053288783878088
1575525237.683799,84,0.04739081859588623
1575525309.628371,85,0.04454350844025612
1575525381.19918,86,0.04224543645977974
1575525452.882609,87,0.04091601446270943
1575525524.349268,88,0.03781254217028618
1575525596.01675,89,0.037509486079216
1575525667.456009,90,0.03470499441027641
1575525739.066459,91,0.034351106733083725
1575525810.630086,92,0.03405165672302246
1575525882.069216,93,0.030721398070454597
1575525953.77823,94,0.02980867028236389
1575526025.352659,95,0.030803147703409195
1575526096.968266,96,0.03103400208055973
1575526168.680982,97,0.029755428433418274
1575526240.298931,98,0.027410028502345085
1575526312.147465,99,0.027222977951169014
1575526383.921749,100,0.02829030528664589
1575526456.027068,101,0.028103502467274666
1575526527.568135,102,0.026527253910899162
1575526599.226364,103,0.025891825556755066
1575526670.7881,104,0.02472284995019436
1575526742.314466,105,0.024406934157013893
1575526813.807428,106,0.024896914139389992
1575526885.381572,107,0.023198837414383888
1575526957.183952,108,0.02493012696504593
1575527029.047454,109,0.023803213611245155
1575527100.612564,110,0.02337918058037758
1575527172.138306,111,0.022492891177535057
1575527244.244199,112,0.023104703053832054
1575527315.531917,113,0.023215724155306816
1575527387.380308,114,0.02023002877831459
1575527458.833028,115,0.02198021300137043
1575527530.727523,116,0.01988951861858368
1575527602.445526,117,0.022143447771668434
1575527674.237472,118,0.019842833280563354
1575527745.90636,119,0.021558266133069992
1575527817.598844,120,0.02033432014286518
1575527889.347979,121,0.020774604752659798
1575527960.987384,122,0.01959116943180561
1575528032.689831,123,0.018496200442314148
1575528104.41895,124,0.017121577635407448
1575528176.447771,125,0.018280111253261566
1575528247.898205,126,0.01689155399799347
1575528319.595864,127,0.0176240224391222
1575528391.619592,128,0.016693739220499992
1575528463.030258,129,0.016714170575141907
1575528535.138579,130,0.016081351786851883
1575528607.048159,131,0.015748562291264534
1575528678.599711,132,0.015586611814796925
1575528750.438391,133,0.01712825521826744
1575528822.030761,134,0.01597466506063938
1575528893.717311,135,0.01637987792491913
1575528965.186929,136,0.01567297987639904
1575529036.680062,137,0.015609057620167732
1575529108.321611,138,0.016141971573233604
1575529180.18742,139,0.01651078835129738
1575529252.001466,140,0.015082867816090584
1575529323.774559,141,0.01567046158015728
1575529395.660445,142,0.015254950150847435
1575529467.549017,143,0.015480764210224152
1575529539.324375,144,0.015446150675415993
1575529610.955664,145,0.015669969841837883
1575529682.580411,146,0.014652268961071968
1575529754.493596,147,0.01622849702835083
1575529826.260947,148,0.016253463923931122
1575529898.170464,149,0.014815811067819595
1575529970.070872,150,0.015099878422915936
1575530041.752017,151,0.015416729263961315
1575530113.406812,152,0.015593132004141808
1575530185.070152,153,0.01565525121986866
1575530257.018547,154,0.015103652141988277
1575530328.747174,155,0.014264333061873913
1575530400.340546,156,0.014903819188475609
1575530472.366219,157,0.014382464811205864
1575530544.061102,158,0.014883753843605518
1575530615.975552,159,0.01504796277731657
1575530687.981458,160,0.014375470578670502
1575530759.488378,161,0.014739440754055977
1575530831.068771,162,0.014621932059526443
1575530903.223531,163,0.01523223053663969
