Wall time,Step,Value
1575504135.954959,0,1.6513174772262573
1575504206.838667,1,1.3147698640823364
1575504278.022783,2,1.1382830142974854
1575504349.118281,3,1.0251299142837524
1575504419.88391,4,0.9445584416389465
1575504491.234602,5,0.8809592127799988
1575504561.801722,6,0.8266943097114563
1575504632.326572,7,0.7803959250450134
1575504703.274611,8,0.7408153414726257
1575504774.345397,9,0.6980903744697571
1575504845.523704,10,0.6709581613540649
1575504916.613493,11,0.6400516033172607
1575504987.892616,12,0.6133002042770386
1575505058.839412,13,0.5917830467224121
1575505130.191597,14,0.5735207796096802
1575505201.207027,15,0.5506114363670349
1575505272.586591,16,0.5363155007362366
1575505343.914282,17,0.5210145115852356
1575505414.620074,18,0.5102072358131409
1575505485.887698,19,0.4982543885707855
1575505557.213823,20,0.48006242513656616
1575505628.432464,21,0.4689839482307434
1575505699.241181,22,0.459784597158432
1575505770.563879,23,0.4522799253463745
1575505841.748326,24,0.4337232708930969
1575505912.61699,25,0.42794305086135864
1575505983.616872,26,0.4194031357765198
1575506054.744262,27,0.40774357318878174
1575506125.7221,28,0.3996761441230774
1575506197.402625,29,0.39655330777168274
1575506268.624573,30,0.38471323251724243
1575506339.379982,31,0.37765100598335266
1575506410.502582,32,0.3715643286705017
1575506481.546531,33,0.36247119307518005
1575506552.902484,34,0.352980375289917
1575506623.821472,35,0.35272708535194397
1575506694.504106,36,0.34506797790527344
1575506765.551129,37,0.3405538499355316
1575506836.988269,38,0.3319072127342224
1575506908.525414,39,0.32732778787612915
1575506979.671068,40,0.3260576128959656
1575507050.949474,41,0.31606894731521606
1575507122.06892,42,0.3133062422275543
1575507193.195289,43,0.3031422793865204
1575507264.545562,44,0.2999899387359619
1575507335.650761,45,0.29464998841285706
1575507406.757292,46,0.2954282760620117
1575507477.673185,47,0.28950607776641846
1575507548.873679,48,0.28391149640083313
1575507619.695374,49,0.2785550653934479
1575507691.166881,50,0.2778889536857605
1575507762.072679,51,0.2722070515155792
1575507833.026059,52,0.26434895396232605
1575507904.871338,53,0.263092041015625
1575507975.880748,54,0.25780561566352844
1575508046.411474,55,0.25995445251464844
1575508117.727646,56,0.25482434034347534
1575508189.118803,57,0.246800497174263
1575508260.535575,58,0.24748823046684265
1575508332.067707,59,0.24256427586078644
1575508403.268753,60,0.23699820041656494
1575508474.272373,61,0.23566505312919617
1575508545.595259,62,0.23051764070987701
1575508616.296975,63,0.2263464480638504
1575508687.662562,64,0.22452111542224884
1575508758.313457,65,0.22104181349277496
1575508829.230544,66,0.2191738337278366
